,ip,404_count,ip
0,208.91.156.11,60,"{'country': 'United States', 'city': None, 'latitude': 37.751, 'longitude': -97.822}"
1,144.76.95.39,14,"{'country': 'Germany', 'city': 'Falkenstein', 'latitude': 50.4777, 'longitude': 12.3649}"
2,66.249.73.135,8,"{'country': 'United States', 'city': None, 'latitude': 37.751, 'longitude': -97.822}"
3,75.97.9.59,6,"{'country': 'United States', 'city': 'Lititz', 'latitude': 40.1573, 'longitude': -76.3069}"
4,176.92.75.62,5,"{'country': 'Greece', 'city': 'Ioannina', 'latitude': 39.6672, 'longitude': 20.8599}"
5,130.237.218.86,4,"{'country': 'Sweden', 'city': 'Stockholm', 'latitude': 59.3326, 'longitude': 18.0651}"
6,84.137.208.44,4,"{'country': 'Germany', 'city': 'Ulm', 'latitude': 48.3991, 'longitude': 9.9717}"
7,195.250.34.144,3,"{'country': 'Italy', 'city': 'Arezzo', 'latitude': 43.4631, 'longitude': 11.8783}"
8,78.173.140.106,3,"{'country': 'Türkiye', 'city': 'Izmir', 'latitude': 38.4123, 'longitude': 27.1424}"
9,188.165.243.45,3,"{'country': 'France', 'city': None, 'latitude': 48.8582, 'longitude': 2.3387}"
